010.000.1271.00,"PLÁNTAGO  PSYLLIUM DE 49.7 G/100 G, POLVO, ENVASE CON 400 G.",ENVASE CON 400 G,CIEL:82862,psyllium,-
010.000.0901.00,"PODOFILINA,  RESINA  DE DE 250 MG / ML, SOLUCIÓN  DÉRMICA,  ENVASE CON 5 ML.",ENVASE CON 5 ML,CIEL:82228,podophyllin,-
010.000.1272.00,"SENÓSIDOS    A-B     DE    CONCENTRADO   DE    SEN    DESECADOS    187    MG (NORMALIZADO A 8.6 MG), TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:83809,sennosides,-
010.000.1270.00,"SENÓSIDOS  A-B  DE CONCENTRADO DE SEN EQUIVALENTE A 200 MG/100 ML, SOLUCIÓN ORAL, ENVASE CON 75 ML.",ENVASE CON 75 ML,CIEL:83809,sennosides,-
010.000.2630.00,"VALPROATO SEMISÓDICO (ÁCIDO VALPROICO) DE 500 MG, TABLETA DE LIBERACIÓN  PROLONGADA, ENVASE CON 30 TABLETAS DE LIBERACIÓN PROLONGADA.",30 TABLETAS,CIEL:84114,,-
010.000.5132.00,ALANTOÍNA  ALQUITRÁN  DE HULLA Y CLIOQUINOL  CREMA 0.2 G/100 G/ 5 G/100 G Y 3 G/100 G,ENVASE CON 60 G.,CIEL:103349,allantoin / coal tar,-
010.000.2111.00,AMLODIPINO  TABLETAS O CAPSULAS  5 MG.,ENVASE CON 10 Ó 30 CAPSULAS  O TABLETAS,CIEL:71138,amlodipine besylate,-
010.000.0071.00,"BENZATINA   BENCILPENICILINA  DE  600  000  UI,  SUSPENSIÓN   INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.",ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.,PIH:4034,benzylpenicillin,-
010.000.2433.00,BENZONATATO PERLA CADA PERLA CONTIENE BENZONATATO 100 MG,ENVASE CON 20 PERLAS,CIEL:72053,benzonatate,-
010.000.2248.00,CINITAPRIDA  GRANULADO  1 MG 30 SOBRES,ENVASE,CIEL:73429,cinitapride,-
010.000.1208.00,CISAPRIDA  SUSPENSIÓN  CADA 100 ML CONTIENEN:  CISAPRIDA  100 MG,ENVASE CON 60 ML Y DOSIFICADOR DE 5 ML,CIEL:73453,cisapride,-
010.000.2147.00,CISAPRIDA  TABLETA 10 MG,CAJA CON 30 TABLETAS,CIEL:73453,cisapride,-
010.000.1209.00,CISAPRIDA  TABLETA CADA TABLETA CONTIENE:  CISAPRIDA  5 MG .,ENVASE CON 30 TABLETAS.,CIEL:73453,cisapride,-
